eng_TAMsimp,TOTAL,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
IMPV ~ MOD let,10,4,1,1,2,0,1,0,0,1,0,0
HAB used to ~ PAST,9,2,2,0,1,3,0,0,1,0,0,0
FUT ~ MOD should,9,5,1,2,1,0,0,0,0,0,0,0
MOD should ~ MOD would,9,2,0,0,3,0,1,1,1,1,0,0
PRES ~ PRES PROG,8,3,0,2,1,1,0,0,0,1,0,0
PAST ~ TO INF,7,2,1,1,0,1,2,0,0,0,0,0
PAST ~ PAST PERF,7,3,1,2,1,0,0,0,0,0,0,0
FUT ~ MOD must,7,1,1,2,2,0,1,0,0,0,0,0
MOD may ~ TO INF,6,1,1,0,0,0,0,4,0,0,0,0
MOD let ~ MOD must,6,2,2,1,0,0,0,0,1,0,0,0
MOD was to ~ PAST,6,3,0,0,0,2,0,1,0,0,0,0
MOD could ~ PAST,5,1,2,1,0,1,0,0,0,0,0,0
MOD is to,5,1,0,0,3,1,0,0,0,0,0,0
FUT going-to ~ MOD shall,5,4,0,0,0,0,0,1,0,0,0,0
MOD can ~ TO INF,5,2,2,0,1,0,0,0,0,0,0,0
PAST ~ PAST PROG,5,2,1,2,0,0,0,0,0,0,0,0
MOD shall ~ MOD would,5,4,0,0,0,0,0,0,1,0,0,0
IMPV ~ PRES PART,5,3,2,0,0,0,0,0,0,0,0,0
MOD could ~ MOD would,4,2,1,0,1,0,0,0,0,0,0,0
MOD lest ~ MOD may,4,0,1,3,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,4,1,0,2,0,0,0,0,1,0,0,0
MOD can ~ PAST,4,0,1,1,1,1,0,0,0,0,0,0
MOD might ~ MOD should,4,1,0,0,0,1,1,0,1,0,0,0
MOD let ~ MOD may,4,1,0,1,1,0,0,0,0,1,0,0
IMPV ~ TO INF,4,0,4,0,0,0,0,0,0,0,0,0
IMPV ~ PAST,4,1,1,1,0,0,0,1,0,0,0,0
?VB ~ PAST,4,2,2,0,0,0,0,0,0,0,0,0
MOD was to,4,0,1,2,1,0,0,0,0,0,0,0
PAST PERF,4,0,0,2,0,0,1,0,1,0,0,0
PRES PART ~ TO INF,4,0,3,0,0,0,1,0,0,0,0,0
PRES PERF ~ TO INF,4,0,1,0,0,0,0,3,0,0,0,0
FUT ~ FUT going-to,4,2,0,0,1,1,0,0,0,0,0,0
MOD might ~ PAST,4,0,0,0,0,0,0,3,0,1,0,0
HAB used to,3,1,0,2,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,3,0,0,0,1,0,2,0,0,0,0,0
MOD VB ~ MOD may,3,0,1,1,0,0,0,0,0,1,0,0
FUT ~ MOD that be,3,0,1,0,0,0,0,0,2,0,0,0
MOD shall ~ PRES PERF,3,1,1,1,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,3,1,0,0,0,0,1,1,0,0,0,0
PRES PART ~ PRES PERF,3,2,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD must,3,3,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,3,2,0,1,0,0,0,0,0,0,0,0
MOD might ~ MOD would,3,1,1,1,0,0,0,0,0,0,0,0
MOD can ~ MOD let,3,1,1,0,1,0,0,0,0,0,0,0
MOD might,3,0,0,0,1,2,0,0,0,0,0,0
MOD lest ~ PRES,3,0,2,0,0,0,0,0,1,0,0,0
MOD is to ~ MOD may,3,2,0,1,0,0,0,0,0,0,0,0
MOD may ~ PRES PART,3,0,2,0,0,0,0,1,0,0,0,0
MOD might ~ TO INF,2,0,0,0,1,0,0,1,0,0,0,0
IMPV ~ MOD should,2,2,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,2,0,1,0,0,0,0,1,0,0,0,0
MOD need not ~ MOD shall,2,0,1,0,0,1,0,0,0,0,0,0
MOD should ~ MOD was to,2,1,0,1,0,0,0,0,0,0,0,0
MOD can ~ MOD could,2,0,1,1,0,0,0,0,0,0,0,0
MOD should ~ TO INF,2,2,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,2,0,1,1,0,0,0,0,0,0,0,0
MOD can ~ MOD should,2,2,0,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,2,0,0,1,1,0,0,0,0,0,0,0
MOD lest ~ MOD might,2,1,0,0,0,1,0,0,0,0,0,0
MOD lest,2,0,0,0,0,0,0,2,0,0,0,0
MOD let ~ PAST,2,1,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,2,0,0,0,0,1,0,0,1,0,0,0
MOD is to ~ PRES PART,2,0,0,0,0,0,2,0,0,0,0,0
MOD let ~ TO INF,2,0,0,1,0,0,0,1,0,0,0,0
MOD is to ~ MOD must,2,1,0,0,1,0,0,0,0,0,0,0
FUT ~ PRES PROG,2,1,0,0,0,0,1,0,0,0,0,0
MOD could ~ TO INF,2,0,1,1,0,0,0,0,0,0,0,0
PAST PROG,1,0,0,1,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0,0
MOD ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD might,1,0,0,0,1,0,0,0,0,0,0,0
MOD must ~ MOD quest must,1,0,0,1,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,1,0,0,0,0,0,0,1,0,0,0,0
PAST PROG ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD would,1,0,0,0,0,1,0,0,0,0,0,0
MOD may ~ PAST,1,0,0,0,0,1,0,0,0,0,0,0
FUT ~ MOD is to,1,0,0,0,1,0,0,0,0,0,0,0
MOD would ~ PAST PERF,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD,1,0,0,0,1,0,0,0,0,0,0,0
PRES PROG,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,1,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,1,0,0,0,0,1,0,0,0,0,0,0
FUT PROG ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,1,0,0,0,1,0,0,0,0,0,0,0
FUT PERF,1,0,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ PRES shall,1,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,1,0,0,1,0,0,0,0,0,0,0,0
MOD need not ~ PRES,1,0,0,0,0,1,0,0,0,0,0,0
MOD could ~ MOD shall,1,0,0,1,0,0,0,0,0,0,0,0
MOD quest must,1,0,1,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,0,0,0,0,1,0,0,0,0,0,0
MOD lest ~ MOD must,1,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0,0
MOD can ~ MOD must,1,0,0,0,0,0,1,0,0,0,0,0
MOD can ~ MOD might,1,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,1,0,1,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD shall,1,0,0,1,0,0,0,0,0,0,0,0
JJ ~ PRES,1,0,0,0,0,0,0,1,0,0,0,0
MOD was to ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES shall,1,0,1,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,1,0,0,0,0,0,0,1,0,0,0,0
MOD should ~ PAST,1,0,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD should,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,1,0,0,0,0,0,0,1,0,0,0,0
IMPV ~ MOD need not,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,1,0,0,0,0,0,0,1,0,0,0,0
MOD let ~ MOD that be,1,0,0,0,0,0,0,0,1,0,0,0
MOD must ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0
HAB used to ~ PRES,1,0,0,0,0,1,0,0,0,0,0,0
MOD that be,1,0,0,1,0,0,0,0,0,0,0,0
