eng_TAMsimp,TOTAL,xYq0,WxY0,WXYq,XYqt,ZYq0,WYq0,xYqX,ZYqX,WxYX,WYqX,CPen
MOD let ~ MOD would,5,0,0,1,0,2,0,0,2,0,0,0
MOD can ~ PRES PART,5,1,0,2,0,1,0,0,0,1,0,0
MOD is to,5,1,0,0,3,0,0,1,0,0,0,0
MOD might,5,0,0,0,1,0,2,2,0,0,0,0
MOD could ~ PAST,5,1,2,1,0,0,0,1,0,0,0,0
FUT ~ FUT going-to,5,2,0,0,1,0,1,1,0,0,0,0
MOD could ~ MOD would,5,2,1,0,1,1,0,0,0,0,0,0
FUT going-to ~ MOD shall,5,4,0,0,0,0,1,0,0,0,0,0
MOD could ~ MOD might,5,0,0,0,0,1,2,1,0,1,0,0
MOD may ~ PRES PART,5,0,2,0,0,0,3,0,0,0,0,0
PAST ~ PAST PROG,5,2,1,2,0,0,0,0,0,0,0,0
MOD lest ~ MOD may,4,0,1,3,0,0,0,0,0,0,0,0
IMPV ~ MOD is to,4,2,0,1,0,0,0,1,0,0,0,0
MOD can ~ PAST,4,0,1,1,1,0,0,1,0,0,0,0
?VB ~ PAST,4,2,2,0,0,0,0,0,0,0,0,0
MOD was to,4,0,1,2,1,0,0,0,0,0,0,0
PAST PERF,4,0,0,2,0,1,0,0,0,1,0,0
MOD might ~ PAST,4,0,0,0,0,0,3,0,1,0,0,0
MOD might ~ MOD would,4,1,1,1,0,0,1,0,0,0,0,0
MOD might ~ MOD should,4,1,0,0,0,1,0,1,0,1,0,0
PRES PERF ~ TO INF,4,0,1,0,0,0,3,0,0,0,0,0
MOD should ~ TO INF,3,2,0,0,0,0,1,0,0,0,0,0
FUT ~ MOD that be,3,0,1,0,0,0,0,0,0,2,0,0
PAST PERF ~ PRES,3,1,0,0,0,1,1,0,0,0,0,0
MOD VB ~ MOD may,3,0,1,1,0,0,0,0,1,0,0,0
HAB used to,3,1,0,2,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,3,2,1,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,3,0,0,1,1,1,0,0,0,0,0,0
MOD could ~ MOD must,3,3,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,3,1,1,1,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,3,0,2,0,0,0,0,1,0,0,0,0
MOD let ~ PRES PERF,3,0,0,0,0,2,0,0,1,0,0,0
FUT ~ PRES PERF,3,0,0,0,1,2,0,0,0,0,0,0
MOD lest ~ PRES,3,0,2,0,0,0,0,0,0,1,0,0
MOD is to ~ MOD may,3,2,0,1,0,0,0,0,0,0,0,0
FUT ~ PRES PROG,3,1,0,0,0,1,1,0,0,0,0,0
MOD might ~ TO INF,2,0,0,0,1,0,1,0,0,0,0,0
MOD that be,2,0,0,1,0,0,1,0,0,0,0,0
MOD lest ~ MOD might,2,1,0,0,0,0,0,1,0,0,0,0
MOD lest,2,0,0,0,0,0,2,0,0,0,0,0
MOD must ~ MOD should,2,0,1,0,0,0,1,0,0,0,0,0
MOD can ~ MOD could,2,0,1,1,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,2,0,0,1,0,1,0,0,0,0,0,0
MOD could ~ TO INF,2,0,1,1,0,0,0,0,0,0,0,0
MOD can ~ MOD should,2,2,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,2,1,0,0,1,0,0,0,0,0,0,0
MOD let ~ MOD that be,2,0,0,0,0,0,0,1,0,1,0,0
MOD may ~ PAST,2,0,0,0,0,0,0,1,0,0,1,0
MOD should ~ MOD was to,2,1,0,1,0,0,0,0,0,0,0,0
IMPV ~ MOD lest,2,0,1,1,0,0,0,0,0,0,0,0
MOD is to ~ PRES PART,2,0,0,0,0,2,0,0,0,0,0,0
MOD would ~ PAST PERF,1,0,0,1,0,0,0,0,0,0,0,0
MOD was to ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,1,0,1,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD was to,1,0,0,0,0,0,1,0,0,0,0,0
MOD lest ~ MOD would,1,0,1,0,0,0,0,0,0,0,0,0
MOD ~ MOD let,1,0,0,0,0,0,1,0,0,0,0,0
MOD ~ PRES,1,1,0,0,0,0,0,0,0,0,0,0
PAST PROG,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD is to,1,0,0,0,1,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ FUT PROG,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ FUT PERF,1,0,0,0,0,1,0,0,0,0,0,0
PRES PROG,1,0,0,1,0,0,0,0,0,0,0,0
FUT going-to ~ MOD may,1,0,0,0,0,0,1,0,0,0,0,0
FUT going-to ~ MOD lest,1,0,0,0,0,0,0,1,0,0,0,0
FUT PROG ~ PRES,1,0,0,1,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,1,0,0,0,1,0,0,0,0,0,0,0
FUT PERF,1,0,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,1,0,0,1,0,0,0,0,0,0,0,0
FUT ~ MOD,1,0,0,0,1,0,0,0,0,0,0,0
MOD quest must,1,0,1,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,1,0,0,0,0,0,0,1,0,0,0,0
MOD VB ~ MOD shall,1,0,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,1,0,1,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,1,0,0,0,0,0,1,0,0,0,0,0
MOD let ~ MOD that,1,0,0,0,0,0,1,0,0,0,0,0
MOD is to ~ MOD lest,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,1,0,0,1,0,0,0,0,0,0,0,0
MOD let ~ VB,1,0,0,0,0,0,1,0,0,0,0,0
MOD may ~ MOD might,1,0,0,0,1,0,0,0,0,0,0,0
MOD could ~ MOD shall,1,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD would,1,0,0,0,0,0,0,1,0,0,0,0
MOD may ~ PRES PERF,1,0,0,0,0,1,0,0,0,0,0,0
MOD might ~ PRES PERF,1,0,0,0,0,0,1,0,0,0,0,0
MOD can ~ MOD must,1,0,0,0,0,1,0,0,0,0,0,0
MOD can ~ MOD might,1,0,1,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,1,0,0,0,0,0,1,0,0,0,0,0
JJ ~ PRES,1,0,0,0,0,0,1,0,0,0,0,0
MOD must ~ PRES PART,1,0,0,1,0,0,0,0,0,0,0,0
IMPV ~ PRES PERF,1,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,1,0,0,0,0,0,1,0,0,0,0,0
MOD must ~ PRES shall,1,0,1,0,0,0,0,0,0,0,0,0
MOD need not ~ PRES,1,0,0,0,0,0,0,1,0,0,0,0
MOD lest ~ MOD shall,1,0,1,0,0,0,0,0,0,0,0,0
IMPV ~ MOD need not,1,1,0,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,1,0,0,0,0,0,0,1,0,0,0,0
MOD should ~ PAST,1,0,0,0,0,0,0,1,0,0,0,0
MOD should ~ PRES PART,1,0,0,0,0,0,1,0,0,0,0,0
IMPV ~ MOD,1,0,0,0,0,0,1,0,0,0,0,0
IMPV not ~ MOD must,1,0,0,1,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,0,0,0,0,1,0,0,0,0,0
