FUT ~ MOD is to,1.0,inf
IMPV ~ MOD lest,1.0,inf
?VB ~ PAST,1.0,inf
MOD let ~ PRES PERF,1.0,inf
MOD should ~ PAST,1.0,inf
MOD would ~ PRES PART,1.0,inf
FUT PROG ~ PRES,1.0,inf
FUT ~ MOD that be,1.0,inf
PRES PART ~ PRES PERF,1.0,inf
MOD may ~ PRES PERF,1.0,inf
MOD may ~ PAST,1.0,inf
MOD shall ~ PRES PERF,1.5,3.0
MOD may ~ MOD might,1.0,inf
PAST PROG,1.0,inf
MOD lest ~ MOD would,1.0,inf
MOD can ~ MOD might,1.0,inf
MOD need not ~ MOD shall,1.0,inf
MOD could ~ MOD should,1.0,inf
MOD is to ~ PRES PART,1.0,inf
MOD could ~ MOD must,1.0,inf
MOD should ~ PRES PERF,1.0,inf
MOD let ~ MOD that be,1.0,inf
MOD need not ~ PRES,1.0,inf
PAST PROG ~ PRES,1.0,inf
PRES ~ PRES do,1.0,inf
MOD must ~ MOD should,1.0,inf
MOD that be,1.0,inf
MOD must ~ MOD quest must,1.0,inf
MOD is to ~ PRES,1.0,inf
PRES PROG,1.0,inf
MOD lest ~ MOD let,1.0,inf
MOD lest ~ MOD should,1.0,inf
MOD is to ~ TO INF,1.0,inf
MOD can ~ MOD must,1.0,inf
MOD could ~ TO INF,1.0,inf
MOD lest ~ MOD shall,2.0,2.0
FUT ~ MOD was to,1.0,inf
MOD quest must,1.0,inf
PRES PERF ~ PRES PROG,1.0,inf
MOD quest must ~ MOD shall,1.0,inf
MOD might ~ PRES PERF,1.0,inf
PRES PART ~ PRES PROG,1.0,inf
MOD must ~ TO INF,1.0,inf
MOD must ~ PRES PART,1.0,inf
FUT going-to ~ MOD lest,1.0,inf
PRES ~ PRES shall,1.0,inf
FUT PERF,1.0,inf
FUT PERF ~ PRES,1.0,inf
FUT PROG ~ MOD shall,1.0,inf
MOD is to ~ MOD lest,1.0,inf
FUT going-to ~ MOD is to,1.0,inf
FUT going-to ~ MOD may,1.0,inf
PRES ~ PRES can,1.0,inf
MOD must ~ PRES shall,1.0,inf
FUT ~ FUT PERF,1.0,inf
FUT ~ FUT PROG,1.0,inf
MOD must ~ PRES PROG,1.0,inf
MOD could ~ PAST PERF,1.0,inf
FUT ~ MOD,1.0,inf
MOD could ~ PRES PERF,1.0,inf
HAB used to ~ PRES,1.0,inf
FUT ~ PRES shall,1.0,inf
MOD may ~ MOD would,1.0,inf
MOD would ~ PAST PROG,1.0,inf
MOD lest ~ MOD must,1.0,inf
MOD would ~ PAST PERF,1.0,inf
MOD lest ~ MOD that be,1.0,inf
MOD can ~ MOD lest,1.0,inf
MOD ~ MOD let,1.0,inf
MOD VB ~ TO INF,1.0,inf
MOD that be ~ TO INF,1.0,inf
MOD VB ~ MOD shall,1.0,inf
MOD VB ~ MOD can,1.0,inf
JJ ~ PRES,1.0,inf
MOD let ~ MOD might,1.0,inf
IMPV ~ PRES PERF,1.0,inf
MOD ~ PRES,inf,1.0
MOD should ~ PRES PART,1.0,inf
MOD let ~ MOD that,1.0,inf
IMPV ~ MOD need not,1.0,inf
MOD could ~ MOD shall,1.0,inf
MOD is to ~ MOD should,1.0,inf
MOD let ~ VB,1.0,inf
MOD is to ~ PRES PROG,1.0,inf
IMPV ~ MOD,1.0,inf
IMPV not ~ MOD must,1.0,inf
PAST PROG ~ PRES PART,1.0,inf
HAB used to ~ PRES PERF,1.0,inf
HAB used to ~ MOD would,1.0,inf
MOD may ~ MOD should,1.0,inf
MOD was to ~ PRES,1.0,inf
