eng_TAMsimp,Q,D,?,N
FUT ~ MOD should,1.09,inf,12.0,inf
HAB used to ~ PAST,2.0,2.0,inf,inf
MOD might,1.0,inf,inf,inf
MOD may ~ MOD must,1.1,11.0,inf,inf
IMPV ~ MOD can,1.0,inf,inf,inf
MOD is to,1.25,inf,5.0,inf
PAST ~ PAST PERF,2.0,3.33,10.0,10.0
MOD let ~ MOD must,1.0,inf,inf,inf
MOD was to ~ PAST,1.5,4.5,9.0,inf
MOD is to ~ MOD let,1.0,inf,inf,inf
MOD can ~ MOD should,1.0,inf,inf,inf
MOD let ~ PAST,1.33,inf,4.0,inf
MOD let ~ MOD should,1.0,inf,inf,inf
MOD can ~ MOD could,1.0,inf,inf,inf
IMPV ~ PAST,1.0,inf,inf,inf
MOD could ~ MOD would,1.0,inf,inf,inf
IMPV ~ MOD should,1.0,inf,inf,inf
FUT ~ MOD must,1.0,inf,inf,inf
MOD lest,1.0,inf,inf,inf
MOD should ~ MOD was to,1.75,3.5,inf,7.0
PAST PERF,7.0,1.17,inf,inf
IMPV ~ PRES PART,1.0,inf,inf,inf
MOD might ~ MOD would,1.17,7.0,inf,inf
IMPV ~ TO INF,1.0,inf,inf,inf
FUT ~ FUT going-to,1.0,inf,inf,inf
PRES PART ~ TO INF,1.2,6.0,inf,inf
MOD lest ~ MOD might,1.0,inf,inf,inf
MOD could ~ PAST,1.2,inf,inf,6.0
FUT ~ PRES PERF,1.0,inf,inf,inf
MOD can ~ TO INF,1.0,inf,inf,inf
MOD is to ~ MOD may,1.2,6.0,inf,inf
MOD may ~ PRES PART,1.2,inf,6.0,inf
MOD could ~ MOD might,1.5,3.0,inf,inf
FUT going-to ~ MOD shall,1.0,inf,inf,inf
MOD shall ~ MOD would,1.0,inf,inf,inf
?VB ~ MOD let,1.0,inf,inf,inf
PAST ~ PAST PROG,6.0,1.5,6.0,inf
MOD can ~ PRES PART,1.0,inf,inf,inf
MOD VB ~ MOD may,1.25,inf,5.0,inf
MOD is to ~ MOD must,1.0,inf,inf,inf
MOD might ~ TO INF,1.25,5.0,inf,inf
MOD can ~ MOD let,1.0,inf,inf,inf
MOD lest ~ TO INF,1.0,inf,inf,inf
MOD would ~ TO INF,1.25,inf,inf,5.0
MOD let ~ PRES PART,1.0,inf,inf,inf
MOD might ~ PAST,1.0,inf,inf,inf
MOD was to,5.0,1.25,inf,inf
MOD might ~ MOD should,1.25,5.0,inf,inf
MOD should ~ PAST,1.0,inf,inf,inf
MOD VB ~ PRES,1.0,inf,inf,inf
FUT ~ PRES PROG,1.0,inf,inf,inf
IMPV ~ MOD lest,1.0,inf,inf,inf
HAB used to,4.0,2.0,inf,4.0
PAST PERF ~ PRES,1.33,4.0,inf,inf
MOD can ~ PAST,1.0,inf,inf,inf
FUT ~ MOD is to,1.0,inf,inf,inf
?VB ~ PAST,1.0,inf,inf,inf
PRES PERF ~ TO INF,1.0,inf,inf,inf
MOD could ~ MOD should,1.0,inf,inf,inf
?VB,1.0,inf,inf,inf
PAST PROG,inf,1.0,inf,inf
MOD shall ~ PRES PERF,1.0,inf,inf,inf
MOD can ~ MOD might,1.0,inf,inf,inf
MOD could ~ MOD must,1.0,inf,inf,inf
FUT PROG ~ PRES,1.5,inf,3.0,inf
MOD lest ~ MOD would,1.5,3.0,inf,inf
FUT ~ MOD that be,1.0,inf,inf,inf
MOD need not ~ MOD shall,1.0,inf,inf,inf
MOD may ~ PRES PERF,1.0,inf,inf,inf
MOD may ~ PAST,1.0,inf,inf,inf
MOD may ~ MOD might,1.0,inf,inf,inf
PRES PART ~ PRES PERF,1.0,inf,inf,inf
MOD is to ~ PRES PART,1.0,inf,inf,inf
MOD let ~ PRES PERF,1.0,inf,inf,inf
MOD let ~ MOD would,1.0,inf,inf,inf
IMPV ~ MOD is to,1.0,inf,inf,inf
MOD would ~ PRES PART,1.0,inf,inf,inf
?VB ~ MOD must,1.0,inf,inf,inf
?VB ~ MOD shall,1.0,inf,inf,inf
??VB ~ MOD let,1.0,inf,inf,inf
MOD must ~ MOD should,2.0,2.0,inf,inf
MOD is to ~ PRES,1.0,inf,inf,inf
MOD can ~ MOD must,1.0,inf,inf,inf
MOD should ~ PRES PERF,1.0,inf,inf,inf
MOD that be,1.0,inf,inf,inf
MOD let ~ MOD that be,1.0,inf,inf,inf
PAST PROG ~ PRES,1.0,inf,inf,inf
MOD lest ~ MOD should,1.0,inf,inf,inf
MOD lest ~ MOD shall,1.0,inf,inf,inf
MOD is to ~ TO INF,1.0,inf,inf,inf
MOD need not ~ PRES,1.0,inf,inf,inf
MOD could ~ TO INF,2.0,2.0,inf,inf
PRES PROG,1.0,inf,inf,inf
PRES ~ PRES do,1.0,inf,inf,inf
FUT PERF,1.0,inf,inf,inf
FUT ~ MOD,1.0,inf,inf,inf
MOD quest must,1.0,inf,inf,inf
MOD quest must ~ MOD shall,1.0,inf,inf,inf
PRES ~ PRES shall,1.0,inf,inf,inf
MOD should ~ PRES PART,1.0,inf,inf,inf
?VB ~ IMPV,1.0,inf,inf,inf
?VB ~ MOD lest,1.0,inf,inf,inf
MOD that be ~ TO INF,1.0,inf,inf,inf
MOD was to ~ PRES,1.0,inf,inf,inf
MOD would ~ PAST PERF,1.0,inf,inf,inf
MOD ~ PRES,1.0,inf,inf,inf
MOD would ~ PAST PROG,1.0,inf,inf,inf
FUT PERF ~ PRES,1.0,inf,inf,inf
FUT ~ FUT PROG,1.0,inf,inf,inf
PRES ~ PRES can,1.0,inf,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf,inf
MOD must ~ TO INF,1.0,inf,inf,inf
FUT going-to ~ MOD is to,1.0,inf,inf,inf
PAST PROG ~ PRES PART,inf,1.0,inf,inf
FUT PROG ~ MOD shall,1.0,inf,inf,inf
PRES PART ~ PRES PROG,1.0,inf,inf,inf
FUT going-to ~ MOD lest,1.0,inf,inf,inf
MOD can ~ MOD lest,1.0,inf,inf,inf
MOD must ~ PRES shall,1.0,inf,inf,inf
MOD lest ~ MOD let,1.0,inf,inf,inf
MOD could ~ MOD shall,1.0,inf,inf,inf
MOD VB ~ TO INF,1.0,inf,inf,inf
MOD could ~ PAST PERF,1.0,inf,inf,inf
MOD VB ~ MOD shall,1.0,inf,inf,inf
MOD could ~ PRES PERF,1.0,inf,inf,inf
MOD VB ~ MOD can,1.0,inf,inf,inf
JJ ~ PRES,1.0,inf,inf,inf
IMPV ~ PRES PERF,1.0,inf,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf,inf
MOD is to ~ MOD should,1.0,inf,inf,inf
MOD is to ~ PRES PROG,1.0,inf,inf,inf
IMPV ~ MOD need not,inf,1.0,inf,inf
MOD lest ~ MOD must,1.0,inf,inf,inf
MOD must ~ PRES PROG,1.0,inf,inf,inf
MOD let ~ MOD might,1.0,inf,inf,inf
IMPV ~ MOD,1.0,inf,inf,inf
MOD let ~ VB,1.0,inf,inf,inf
HAB used to ~ PRES PERF,1.0,inf,inf,inf
HAB used to ~ PRES,inf,1.0,inf,inf
MOD may ~ MOD should,1.0,inf,inf,inf
HAB used to ~ MOD would,1.0,inf,inf,inf
MOD may ~ MOD would,1.0,inf,inf,inf
MOD might ~ PRES PERF,1.0,inf,inf,inf
FUT ~ PRES shall,1.0,inf,inf,inf
MOD must ~ MOD quest must,1.0,inf,inf,inf
MOD must ~ PRES PART,1.0,inf,inf,inf
MOD lest ~ MOD that be,1.0,inf,inf,inf
