period,genre,domain2,TOTAL,PRES,FUT,FUT ~ MOD shall,IMPV ~ MOD shall,MOD must ~ MOD shall,MOD is to ~ MOD shall,PAST,MOD shall,MOD may,FUT ~ PRES,IMPV,MOD shall ~ PRES,MOD can,FUT ~ MOD may,MOD should,FUT ~ MOD lest,MOD would,PRES ~ PRES PERF,MOD may ~ MOD shall,PRES ~ PRES PART,PAST ~ PRES,MOD shall ~ TO INF,MOD can ~ MOD may,MOD could,MOD must,MOD should ~ PRES,PRES PERF,MOD can ~ MOD shall,MOD can ~ PRES,PRES ~ TO INF,MOD may ~ PRES,FUT ~ MOD can,TO INF,MOD would ~ PAST,PRES PART,MOD shall ~ MOD should,FUT ~ TO INF,MOD let,FUT ~ MOD would,PAST ~ PRES PERF,PRES ~ PRES PROG,MOD lest ~ PRES,MOD must ~ PRES,MOD lest ~ MOD may,MOD may ~ MOD must,IMPV ~ PRES,IMPV ~ MOD must,MOD should ~ TO INF,MOD shall ~ PRES PART,MOD let ~ MOD shall,HAB used to ~ PAST,MOD may ~ TO INF,IMPV ~ MOD let,IMPV ~ MOD may,FUT ~ IMPV,PAST ~ PRES PART,MOD shall ~ PAST,MOD is to,MOD should ~ MOD was to,PAST ~ PAST PERF,MOD would ~ PRES,PAST ~ TO INF,MOD is to ~ MOD may,MOD let ~ MOD must,PAST PERF,FUT ~ PAST,FUT ~ MOD let,FUT ~ FUT going-to,FUT going-to ~ MOD shall,MOD lest ~ TO INF,MOD was to ~ PAST,HAB used to,MOD could ~ MOD might,PRES PART ~ TO INF,MOD is to ~ MOD must,IMPV ~ PRES PART,MOD might,MOD should ~ MOD would,MOD was to,MOD lest ~ MOD might,MOD can ~ MOD should,MOD can ~ MOD let,MOD can ~ MOD could,MOD shall ~ MOD would,MOD shall ~ PRES PERF,IMPV ~ MOD is to,MOD can ~ MOD might,FUT ~ MOD should,MOD might ~ MOD should,FUT ~ MOD is to,PAST ~ PAST PROG,PAST PROG,FUT ~ MOD that be,MOD could ~ PAST,FUT ~ PRES PART,MOD lest ~ MOD would,FUT ~ PRES PERF,MOD should ~ PRES PERF,FUT ~ PRES PROG,IMPV ~ TO INF,FUT ~ MOD must,PAST PERF ~ PRES,IMPV ~ MOD can,FUT PROG ~ PRES,MOD could ~ MOD should,?VB ~ PAST,MOD could ~ MOD would,MOD may ~ PRES PART,MOD lest ~ MOD should,MOD let ~ TO INF,MOD is to ~ PRES PART,MOD let ~ MOD may,MOD let ~ PRES,MOD lest ~ MOD shall,FUT ~ PRES shall,MOD lest ~ MOD that be,MOD might ~ MOD would,MOD was to ~ PRES,MOD would ~ PRES PART,MOD would ~ TO INF,MOD may ~ PRES PERF,MOD ~ PRES,MOD let ~ MOD should,MOD might ~ TO INF,MOD let ~ PAST,MOD let ~ PRES PART,PRES PART ~ PRES PERF,FUT ~ MOD,PRES PART ~ PRES PROG,PRES ~ PRES can,FUT going-to ~ MOD lest,MOD may ~ PAST,FUT PROG ~ MOD shall,FUT PERF ~ PRES,PRES ~ PRES shall,MOD lest ~ MOD must,HAB used to ~ PRES,MOD could ~ MOD shall,MOD that be ~ TO INF,MOD could ~ PAST PERF,MOD must ~ TO INF,MOD can ~ TO INF,MOD can ~ PRES PART,MOD need not ~ MOD shall,MOD can ~ PAST,MOD could ~ PRES PERF,MOD need not ~ PRES,MOD can ~ MOD must,MOD may ~ MOD might,MOD quest must ~ MOD shall,MOD could ~ TO INF,MOD can ~ MOD lest,MOD must ~ PRES shall,MOD must ~ PRES PART,MOD VB ~ MOD may,MOD must ~ MOD should,MOD is to ~ MOD should,MOD is to ~ PRES,IMPV ~ MOD need not,MOD should ~ PAST,MOD should ~ PRES PART,MOD is to ~ PRES PROG,MOD is to ~ TO INF,MOD lest ~ MOD let,MOD may ~ MOD would
SBH,prose,N,20,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,list,D,7,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,prose,N,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,D,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,?,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prose,?,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,prophetic,Q,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,prose,?,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,Q,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LBH,list,N,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,instruction,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBH,list,?,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
