,0,1
MOD lest ~ MOD should,inf,0.0
MOD should ~ PRES PERF,0.07,14.71
MOD lest ~ MOD shall,inf,0.0
IMPV ~ MOD should,inf,0.0
MOD is to ~ TO INF,inf,0.0
MOD let ~ PAST,0.07,14.71
MOD need not ~ PRES,inf,0.0
MOD need not ~ MOD shall,inf,0.0
MOD let ~ TO INF,inf,0.0
MOD can ~ MOD must,inf,0.0
PAST PROG ~ PRES,inf,0.0
MOD could ~ TO INF,inf,0.0
MOD may ~ PRES PERF,inf,0.0
PRES PROG,inf,0.0
MOD must ~ MOD should,inf,0.0
PRES ~ PRES can,inf,0.0
PRES PART ~ PRES PROG,inf,0.0
MOD was to ~ PRES,inf,0.0
FUT PERF ~ PRES,0.0,inf
HAB used to ~ MOD would,inf,0.0
PRES ~ PRES shall,0.0,inf
HAB used to ~ PRES,inf,0.0
MOD would ~ PAST PERF,inf,0.0
FUT PROG ~ MOD shall,inf,0.0
FUT ~ PRES shall,0.0,inf
FUT ~ FUT PROG,inf,0.0
FUT going-to ~ MOD is to,inf,0.0
FUT going-to ~ MOD lest,inf,0.0
MOD would ~ PAST PROG,inf,0.0
PAST PROG ~ PRES PART,inf,0.0
MOD ~ PRES,inf,0.0
PRES PERF ~ PRES PROG,inf,0.0
FUT PERF,inf,0.0
FUT ~ MOD,inf,0.0
MOD let ~ MOD should,inf,0.0
HAB used to ~ PRES PERF,inf,0.0
MOD is to ~ PRES PROG,inf,0.0
MOD might ~ PRES PERF,inf,0.0
MOD could ~ PAST PERF,inf,0.0
MOD could ~ PRES PERF,inf,0.0
MOD is to ~ MOD lest,inf,0.0
MOD is to ~ MOD should,inf,0.0
MOD is to ~ PRES,inf,0.0
MOD may ~ MOD would,inf,0.0
MOD that be ~ TO INF,inf,0.0
MOD lest ~ MOD let,0.0,inf
MOD may ~ MOD should,inf,0.0
MOD lest ~ MOD must,inf,0.0
MOD lest ~ MOD that be,inf,0.0
MOD let ~ PRES PERF,inf,0.0
MOD let ~ PRES PART,inf,0.0
MOD could ~ MOD shall,inf,0.0
MOD must ~ MOD quest must,inf,0.0
MOD must ~ PRES PART,0.0,inf
MOD must ~ PRES PROG,inf,0.0
MOD must ~ PRES shall,inf,0.0
MOD must ~ TO INF,inf,0.0
MOD can ~ MOD lest,inf,0.0
MOD VB ~ TO INF,inf,0.0
MOD VB ~ MOD shall,inf,0.0
MOD let ~ MOD that be,inf,0.0
MOD VB ~ MOD can,inf,0.0
JJ ~ PRES,inf,0.0
IMPV ~ PRES PERF,inf,0.0
MOD quest must ~ MOD shall,0.0,inf
IMPV ~ MOD need not,inf,0.0
MOD should ~ PRES PART,inf,0.0
MOD that be,inf,0.0
MOD quest must,inf,0.0
