,SBH,LBH
MOD shall ~ MOD would,inf,0.0
MOD lest ~ MOD would,inf,0.0
FUT ~ MOD is to,0.23,4.39
IMPV ~ MOD is to,0.23,4.39
PAST PROG,0.23,4.39
MOD let ~ PRES,0.23,4.39
MOD can ~ MOD should,0.23,4.39
MOD can ~ MOD could,inf,0.0
FUT ~ MOD that be,inf,0.0
FUT ~ MOD should,inf,0.0
MOD can ~ MOD might,inf,0.0
MOD could ~ PAST,inf,0.0
MOD may ~ PRES PART,0.23,4.39
MOD might ~ MOD should,0.23,4.39
MOD shall ~ PRES PERF,inf,0.0
PAST ~ PAST PROG,inf,0.0
MOD could ~ MOD would,inf,0.0
MOD could ~ MOD should,0.11,8.77
MOD can ~ TO INF,inf,0.0
IMPV ~ MOD can,inf,0.0
?VB ~ PAST,inf,0.0
MOD let ~ PAST,inf,0.0
FUT ~ MOD must,inf,0.0
MOD should ~ PRES PERF,inf,0.0
?VB ~ MOD shall,inf,0.0
MOD is to ~ PRES PART,0.11,8.77
MOD lest ~ MOD should,inf,0.0
?VB ~ MOD must,0.11,8.77
MOD let ~ MOD would,inf,0.0
MOD let ~ PRES PART,inf,0.0
MOD let ~ PRES PERF,0.11,8.77
MOD is to ~ PRES,inf,0.0
FUT PROG ~ PRES,inf,0.0
PAST PERF ~ PRES,inf,0.0
FUT PERF ~ PRES,0.0,inf
FUT PROG ~ MOD shall,inf,0.0
?VB,inf,0.0
HAB used to ~ PRES,inf,0.0
FUT going-to ~ MOD lest,inf,0.0
?VB ~ IMPV,0.0,inf
FUT ~ MOD,inf,0.0
?VB ~ MOD let,0.0,inf
FUT ~ PRES shall,inf,0.0
IMPV ~ MOD,inf,0.0
IMPV ~ MOD need not,inf,0.0
MOD lest ~ MOD that be,inf,0.0
IMPV ~ MOD should,inf,0.0
MOD might ~ MOD would,inf,0.0
MOD must ~ MOD should,inf,0.0
MOD must ~ PRES PART,inf,0.0
MOD must ~ PRES shall,inf,0.0
MOD must ~ TO INF,inf,0.0
MOD need not ~ MOD shall,inf,0.0
MOD need not ~ PRES,inf,0.0
MOD quest must ~ MOD shall,inf,0.0
MOD should ~ PAST,inf,0.0
MOD should ~ PRES PART,0.0,inf
MOD that be,inf,0.0
MOD that be ~ TO INF,inf,0.0
MOD was to ~ PRES,inf,0.0
MOD would ~ PRES PART,inf,0.0
MOD would ~ TO INF,0.0,inf
MOD ~ PRES,inf,0.0
PRES PART ~ PRES PERF,inf,0.0
PRES PART ~ PRES PROG,inf,0.0
PRES ~ PRES can,inf,0.0
PRES ~ PRES shall,inf,0.0
MOD might ~ TO INF,0.0,inf
MOD may ~ PRES PERF,inf,0.0
IMPV ~ PAST,inf,0.0
MOD may ~ PAST,inf,0.0
MOD VB ~ MOD may,inf,0.0
MOD can ~ MOD lest,inf,0.0
MOD can ~ MOD must,inf,0.0
MOD can ~ PAST,inf,0.0
MOD can ~ PRES PART,inf,0.0
MOD could ~ MOD shall,inf,0.0
MOD could ~ PAST PERF,inf,0.0
MOD could ~ PRES PERF,inf,0.0
MOD could ~ TO INF,inf,0.0
MOD is to ~ MOD should,inf,0.0
MOD is to ~ PRES PROG,inf,0.0
MOD is to ~ TO INF,inf,0.0
MOD lest ~ MOD let,inf,0.0
MOD lest ~ MOD must,inf,0.0
MOD lest ~ MOD shall,inf,0.0
MOD let ~ MOD that be,inf,0.0
MOD let ~ VB,inf,0.0
MOD may ~ MOD might,inf,0.0
MOD may ~ MOD would,inf,0.0
??VB ~ MOD let,0.0,inf
