eng_TAMsimp,qal,hif,piel,nif,hit,hof,pual,hsht,tif,poel,poal,htpo
PRES ~ PRES can,0,0,0,1,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,0,0,0,0,1,0,0,0,0,0,0,0
MOD must ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD is to,1,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,0,0,0,0,0,0,0,1,0,0,0,0
FUT PROG ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES shall,0,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD let,1,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST PERF,1,0,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD shall,1,0,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,0,1,0,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,0,0,1,0,0,0,0,0,0,0,0,0
JJ ~ PRES,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,1,0,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD should,0,0,0,1,0,0,0,0,0,0,0,0
MOD is to ~ PRES PROG,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD need not,1,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,0,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PROG,0,0,1,0,0,0,0,0,0,0,0,0
MOD let ~ MOD might,1,0,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD,1,0,0,0,0,0,0,0,0,0,0,0
MOD let ~ VB,0,1,0,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES PERF,0,0,1,0,0,0,0,0,0,0,0,0
HAB used to ~ PRES,0,0,0,1,0,0,0,0,0,0,0,0
MOD may ~ MOD should,1,0,0,0,0,0,0,0,0,0,0,0
HAB used to ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,0
MOD may ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,0,0,1,0,0,0,0,0,0,0,0,0
FUT ~ PRES shall,1,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,1,0,0,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD that be,0,0,0,1,0,0,0,0,0,0,0,0
