genre,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,prophetic,poetry
PAST PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,inf,4.0,inf,inf,4.0,1.5,4.0,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,inf,1.5,1.5,inf,inf,inf,inf,inf,4.0,inf,inf,inf
FUT ~ PRES PERF,inf,inf,4.0,1.5,1.5,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PERF,inf,0.33,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST,0.33,inf,inf,inf,3.0,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ PAST,3.0,1.0,inf,3.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES PART,inf,inf,3.0,inf,1.0,inf,inf,3.0,inf,inf,inf,inf
PRES ~ PRES PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?TO INF ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,0.5,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES,0.5,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?VB,inf,inf,inf,inf,2.0,inf,0.5,inf,inf,inf,inf,inf
PRES ~ TO INF,inf,inf,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,0.5,inf,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD let,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD shall,inf,inf,0.5,inf,2.0,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES PART,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
??PAST,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ IMPV,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ ?PRES PERF,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PAST,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD can ~ PRES,inf,inf,inf,1.0,inf,inf,inf,1.0,inf,inf,inf,inf
??VB ~ ?PAST question,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PAST,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ PRES PART,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ ?PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST question,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST do-support ~ PAST,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ MOD let,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ TO INF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST wh-question ~ TO INF,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD would ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST did not ~ ?PAST question,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST PERF ~ PAST PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?MOD let ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES PART,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?FUT ~ PRES,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
?FUT ~ ?PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES PERF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
??VB ~ PRES,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ PAST,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PRES ~ PAST,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
??PAST ~ ?PAST,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PAST PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD may,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD might,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
IMPV ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PAST,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD would,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD should ~ TO INF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
?TO INF ~ PRES,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
?TO INF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ TO INF,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PERF ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES ~ FUT,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
?PRES ~ ?VB,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PRES PERF ~ PAST,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?PAST ~ PRES PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF PROG,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
