genre,prose,prose,prophetic,prophetic,poetry,list,instruction,poetry,instruction,list,prophetic,poetry
?PAST ~ ?VB,0,0,0,0,1,0,2,0,0,0,0,0
PRES ~ TO INF,0,0,1,0,2,0,0,0,0,0,0,0
IMPV ~ PAST,2,0,0,1,0,0,0,0,0,0,0,0
MOD let,2,1,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD shall,0,0,2,0,1,0,0,0,0,0,0,0
PAST PERF ~ PRES PART,2,1,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,0,1,1,0,1,0,0,0,0,0,0,0
??PAST,1,0,0,1,0,0,0,0,0,0,0,0
?PRES PERF ~ PRES,0,2,0,0,0,0,0,0,0,0,0,0
PRES PERF ~ PRES PROG,0,1,1,0,0,0,0,0,0,0,0,0
?PAST ~ IMPV,2,0,0,0,0,0,0,0,0,0,0,0
?VB ~ PRES,1,0,1,0,0,0,0,0,0,0,0,0
?VB ~ PRES PERF,0,2,0,0,0,0,0,0,0,0,0,0
FUT,0,0,1,0,1,0,0,0,0,0,0,0
?PRES ~ ?PRES PERF,0,0,1,0,1,0,0,0,0,0,0,0
?PRES ~ PRES PERF,0,0,2,0,0,0,0,0,0,0,0,0
?FUT ~ PAST,0,0,0,2,0,0,0,0,0,0,0,0
?PRES PERF,0,1,0,0,1,0,0,0,0,0,0,0
MOD can ~ PRES,0,0,0,1,0,0,0,1,0,0,0,0
??VB ~ ?PAST question,0,2,0,0,0,0,0,0,0,0,0,0
MOD may ~ PAST,1,0,0,0,1,0,0,0,0,0,0,0
?PRES ~ PRES PART,0,0,1,0,1,0,0,0,0,0,0,0
?PAST wh-question,0,1,0,0,0,0,0,0,0,0,0,0
?PAST wh-question ~ ?PRES,0,1,0,0,0,0,0,0,0,0,0,0
?PAST question,0,0,1,0,0,0,0,0,0,0,0,0
?PAST do-support ~ PAST,0,0,0,1,0,0,0,0,0,0,0,0
?PAST wh-question ~ MOD let,0,1,0,0,0,0,0,0,0,0,0,0
?PAST did not ~ TO INF,0,0,0,0,1,0,0,0,0,0,0,0
?PAST wh-question ~ PAST,0,1,0,0,0,0,0,0,0,0,0,0
?PAST wh-question ~ TO INF,0,0,0,1,0,0,0,0,0,0,0,0
?PAST ~ ?TO INF,1,0,0,0,0,0,0,0,0,0,0,0
?MOD would ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0
?PAST did not ~ ?PAST question,0,1,0,0,0,0,0,0,0,0,0,0
?PAST PERF ~ PAST PERF,0,1,0,0,0,0,0,0,0,0,0,0
?MOD would,1,0,0,0,0,0,0,0,0,0,0,0
?MOD let ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0
?FUT ~ PRES PART,0,0,1,0,0,0,0,0,0,0,0,0
?FUT ~ PRES,0,0,0,0,0,0,0,1,0,0,0,0
?FUT ~ ?PRES,0,0,0,0,1,0,0,0,0,0,0,0
??VB ~ PRES PERF,0,0,0,0,1,0,0,0,0,0,0,0
??VB ~ PRES,0,1,0,0,0,0,0,0,0,0,0,0
??VB ~ PAST,0,0,1,0,0,0,0,0,0,0,0,0
??PRES ~ PAST,0,1,0,0,0,0,0,0,0,0,0,0
??PAST ~ PAST,1,0,0,0,0,0,0,0,0,0,0,0
??PAST ~ ?TO INF,1,0,0,0,0,0,0,0,0,0,0,0
??PAST ~ ?PAST,1,0,0,0,0,0,0,0,0,0,0,0
PRES PERF PROG,0,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0,0
PRES PART ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0
?PAST ~ PAST PERF,1,0,0,0,0,0,0,0,0,0,0,0
MOD may,0,0,0,0,1,0,0,0,0,0,0,0
MOD let ~ MOD may,0,0,0,0,1,0,0,0,0,0,0,0
MOD is to ~ PRES PERF,0,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,0,0,1,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,0,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ PRES PART,0,0,0,0,0,1,0,0,0,0,0,0
IMPV ~ PRES,0,0,0,0,1,0,0,0,0,0,0,0
MOD might ~ PRES PERF,0,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ PAST,0,0,0,0,1,0,0,0,0,0,0,0
MOD must ~ PRES,0,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ MOD would,1,0,0,0,0,0,0,0,0,0,0,0
FUT ~ MOD would,0,0,0,0,1,0,0,0,0,0,0,0
MOD should ~ PRES,0,0,0,0,1,0,0,0,0,0,0,0
MOD should ~ TO INF,0,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES,0,0,0,0,1,0,0,0,0,0,0,0
?TO INF ~ PRES,0,0,0,0,1,0,0,0,0,0,0,0
?TO INF,0,0,0,0,1,0,0,0,0,0,0,0
?PRES ~ TO INF,0,0,1,0,0,0,0,0,0,0,0,0
PAST PERF ~ TO INF,1,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,1,0,0,0,0,0,0,0,0,0,0,0
?PRES ~ FUT,0,0,0,0,1,0,0,0,0,0,0,0
?PRES ~ ?VB,0,0,1,0,0,0,0,0,0,0,0,0
?PRES PERF ~ PAST,0,0,0,0,1,0,0,0,0,0,0,0
MOD let ~ PRES,1,0,0,0,0,0,0,0,0,0,0,0
?PAST ~ PRES PERF,0,1,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PERF PROG,0,1,0,0,0,0,0,0,0,0,0,0
PAST ~ PAST PERF PROG,1,0,0,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PERF,1,0,0,0,0,0,0,0,0,0,0,0
