eng_TAMsimp,p3,p2,p1
MOD must ~ MOD quest must,2.0,inf,2.0
MOD is to ~ PRES,1.0,inf,inf
PRES PROG,1.0,inf,inf
MOD lest ~ MOD let,1.0,inf,inf
MOD lest ~ MOD should,1.0,inf,inf
MOD is to ~ TO INF,2.0,inf,2.0
MOD can ~ MOD must,inf,2.0,2.0
MOD could ~ TO INF,2.0,inf,2.0
MOD lest ~ MOD shall,inf,inf,1.0
FUT ~ MOD was to,inf,inf,1.0
MOD quest must,1.0,inf,inf
PRES PERF ~ PRES PROG,1.0,inf,inf
MOD quest must ~ MOD shall,1.0,inf,inf
MOD might ~ PRES PERF,inf,1.0,inf
PRES PART ~ PRES PROG,1.0,inf,inf
MOD must ~ TO INF,1.0,inf,inf
MOD must ~ PRES PART,inf,1.0,inf
FUT going-to ~ MOD lest,1.0,inf,inf
PRES ~ PRES shall,inf,1.0,inf
FUT PERF,1.0,inf,inf
FUT PERF ~ PRES,1.0,inf,inf
FUT PROG ~ MOD shall,1.0,inf,inf
MOD is to ~ MOD lest,1.0,inf,inf
FUT going-to ~ MOD is to,1.0,inf,inf
FUT going-to ~ MOD may,inf,inf,1.0
PRES ~ PRES can,1.0,inf,inf
MOD must ~ PRES shall,inf,1.0,inf
FUT ~ FUT PERF,inf,inf,1.0
FUT ~ FUT PROG,1.0,inf,inf
MOD must ~ PRES PROG,inf,1.0,inf
MOD could ~ PAST PERF,1.0,inf,inf
FUT ~ MOD,1.0,inf,inf
MOD could ~ PRES PERF,1.0,inf,inf
HAB used to ~ PRES,1.0,inf,inf
FUT ~ PRES shall,1.0,inf,inf
MOD may ~ MOD would,1.0,inf,inf
MOD would ~ PAST PROG,1.0,inf,inf
MOD lest ~ MOD must,1.0,inf,inf
MOD would ~ PAST PERF,1.0,inf,inf
MOD lest ~ MOD that be,1.0,inf,inf
MOD can ~ MOD lest,1.0,inf,inf
MOD ~ MOD let,inf,inf,1.0
MOD VB ~ TO INF,1.0,inf,inf
MOD that be ~ TO INF,inf,1.0,inf
MOD VB ~ MOD shall,1.0,inf,inf
MOD VB ~ MOD can,inf,inf,1.0
JJ ~ PRES,1.0,inf,inf
MOD let ~ MOD might,1.0,inf,inf
IMPV ~ PRES PERF,1.0,inf,inf
MOD ~ PRES,1.0,inf,inf
MOD should ~ PRES PART,inf,inf,1.0
MOD let ~ MOD that,1.0,inf,inf
IMPV ~ MOD need not,inf,1.0,inf
MOD could ~ MOD shall,inf,inf,1.0
MOD is to ~ MOD should,inf,inf,1.0
MOD let ~ VB,inf,inf,1.0
MOD is to ~ PRES PROG,inf,1.0,inf
IMPV ~ MOD,1.0,inf,inf
IMPV not ~ MOD must,1.0,inf,inf
PAST PROG ~ PRES PART,inf,1.0,inf
HAB used to ~ PRES PERF,1.0,inf,inf
HAB used to ~ MOD would,inf,inf,1.0
MOD may ~ MOD should,1.0,inf,inf
MOD was to ~ PRES,inf,1.0,inf
