bhsa_node,esv_tags,esv_VBtags,esv_TAM,esv_TAMsimp,niv_tags,niv_VBtags,niv_TAM,niv_TAMsimp,eng_fullparse,eng_TAM,eng_TAMsimp,eng_agree,eng_simp_agree
1545,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1561,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1607,PRP|VB|RP,VB,MOD lest,MOD lest,PRP|VB|RP,VB,TO INF,TO INF,1,MOD lest ~ TO INF,MOD lest ~ TO INF,0,
1769,PRP|VBP|RB,VBP,PRES,PRES,PRP|VBP|WP|VBZ|JJ,VBP|VBZ,PRES,PRES,1,PRES,PRES,1,1
1774,PRP|VBP|VB|RB,VBP|VB,PRES do not,PRES,PRP|VBP|VB|WP|VBZ|JJ,VBP|VB|VBZ,PRES do not,PRES,1,PRES do not,PRES,1,1
1785,MD|VB,VB,MOD must,MOD must,MD|VB,VB,MOD must,MOD must,1,MOD must,MOD must,1,1
1855,PRP|VBP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
1860,PRP|MD|RB|RB,,MOD shall,MOD shall,RB|RB,,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1867,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1893,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,PRP|MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
1906,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
1916,NN|MD|VB|VBN|IN|PRP,VB|VBN,MOD shall,MOD shall,PRP|MD|VB|NN,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
2069,NN,,,,VBZ|VBN,VBZ|VBN,PRES,PRES,0,,,0,
2536,MD|VB|NN,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
2641,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
2676,VBD|RP,VBD,PAST,PAST,VBD,VBD,PAST,PAST,1,PAST,PAST,1,1
2735,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
2856,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
2874,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to,MOD is to,1,1
2890,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
2897,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
2907,VBD,VBD,,,VB,VB,IMPV,IMPV,0,,,0,
2912,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
2941,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
2972,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,
2982,PRP|MD|VB,VB,MOD shall,MOD shall,,,,,0,,,0,
3004,MD|VB|RP,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
3016,VBZ|VBN,VBZ|VBN,PRES,PRES,VBZ|TO|VB|VBN,VBZ|VB|VBN,MOD is to,MOD is to,1,MOD is to ~ PRES,MOD is to ~ PRES,0,
3068,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
3983,PRP|MD|RB,,FUT,FUT,RB,,,,0,,,0,
4004,MD|PRP|RB,,FUT,FUT,RB,,,,0,,,0,
4035,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
4059,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
4074,VBZ,VBZ,PRES,PRES,VBZ,VBZ,PRES,PRES,1,PRES,PRES,1,1
4092,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
4108,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
4115,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB|DT|NN,VB,FUT,FUT,1,FUT,FUT,1,1
4120,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB|DT|NN,VB,FUT,FUT,1,FUT,FUT,1,1
4130,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB|DT|NN|IN,VB,FUT,FUT,1,FUT,FUT,1,1
4143,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,1,MOD shall,MOD shall,1,1
4224,MD|VB|VBN|RP,VB|VBN,MOD shall,MOD shall,MD|VB|VBN|RP,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
4234,MD|EX|VB,VB,MOD shall,MOD shall,MD|EX|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
4313,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
4486,MD|PRP|VB,VB,MOD shall,MOD shall,MD|PRP|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
4496,VB|VB,VB|VB,MOD let,MOD let,MD|VB,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,
4500,MD|VB,VB,MOD may,MOD may,MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1
4505,VB|PRP|VB,VB|VB,MOD let,MOD let,MD|NNP|VB,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,
4510,VB|VB,VB|VB,MOD let,MOD let,MD|VB,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,
4652,PRP|VBZ|VBN,VBZ|VBN,PRES,PRES,PRP|VBZ|VBN,VBZ|VBN,PRES,PRES,1,PRES,PRES,1,1
4997,VB|PRP|VB|NNS,VB|VB,MOD let,MOD let,VB|PRP|VB|NNS,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
5000,VB|RB,VB,MOD,MOD,VB|RB,VB,MOD let,MOD let,1,MOD ~ MOD let,MOD ~ MOD let,0,
5021,VB|PRP|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
5032,VB|PRP|VB,VB|VB,MOD let,MOD let,PRP|MD|VB,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,
5036,PRP|VB|VBN,VB|VBN,MOD lest,MOD lest,RB|VB|VBN,VB|VBN,MOD may,MOD may,1,MOD lest ~ MOD may,MOD lest ~ MOD may,0,
5078,MD|VB|JJ,VB,FUT,FUT,MD|VB|JJ,VB,FUT,FUT,1,FUT,FUT,1,1
5082,PRP|VBP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
5086,VB|PRP|VB|RB,VB|VB,MOD let,MOD let,VB|PRP|VB|RP,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
5088,VB,VB,MOD let,MOD let,VB,VB,MOD let,MOD let,1,MOD let,MOD let,1,1
5093,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,
5504,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5506,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5511,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5513,VB|JJ,VB,FUT,FUT,PRP|MD|VB|JJ,VB,FUT,FUT,1,FUT,FUT,1,1
5519,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5523,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5618,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
5717,VBP,VBP,PRES,PRES,VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
5730,PRP|MD|VB|VB,VB|VB,MOD let,MOD let,MD|VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
5736,PRP|MD|VB|RB,VB,MOD may,MOD may,MD|VB|VBN|RB,VB|VBN,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,
6002,VB|EX|VB,VB|VB,MOD let,MOD let,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
6032,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,1,FUT,FUT,1,1
6038,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,PRP|MD|VB|IN|DT|NN,VB,FUT,FUT,1,FUT,FUT,1,1
6153,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
6169,MD,,MOD can,MOD can,MD,,MOD could,MOD could,1,MOD can ~ MOD could,MOD can ~ MOD could,0,
6179,MD|VB|VBN,VB|VBN,MOD can,MOD can,MD|VB|VBN,VB|VBN,MOD could,MOD could,1,MOD can ~ MOD could,MOD can ~ MOD could,0,
6192,PRP|MD|VB,VB,FUT,FUT,PRP|VBP|VBG,VBP|VBG,PRES PROG,PRES PROG,1,FUT ~ PRES PROG,FUT ~ PRES PROG,0,
6638,PRP|MD|VB,VB,MOD would,MOD would,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD would,FUT ~ MOD would,0,
6645,PRP|MD|VB,VB,MOD should,MOD should,PRP|MD|VB|JJ|TO|VB,VB|VB,FUT,FUT,1,FUT ~ MOD should,FUT ~ MOD should,0,
6668,VB|VBP,VB|VBP,MOD let,MOD let,VB|VB,VB|VB,MOD let,MOD let,1,MOD let,MOD let,1,1
6686,VB,VB,IMPV,IMPV,VB|VB|JJ,VB|VB,IMPV do not,IMPV,1,IMPV ~ IMPV do not,IMPV,0,1
6700,MD|PRP|VB,VB,FUT,FUT,MD|PRP|VB,VB,MOD can,MOD can,1,FUT ~ MOD can,FUT ~ MOD can,0,
6735,MD|VB|NN,VB,MOD shall,MOD shall,MD|VB|NN,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
6740,,,,,VBG,VBG,PRES PART,PRES PART,0,,,0,
6744,MD|VB|NN,VB,MOD shall,MOD shall,MD|VB|NN,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
6761,PRP|VBP|JJ,VBP,PRES,PRES,PRP|MD,,MOD can,MOD can,1,MOD can ~ PRES,MOD can ~ PRES,0,
6769,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,MOD shall,MOD shall,1,MOD shall,MOD shall,1,1
6805,VBP|PRP|TO|VB,VBP|VB,PRES,PRES,MD|PRP|VB,VB,MOD can,MOD can,1,MOD can ~ PRES,MOD can ~ PRES,0,
6807,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB|NN|IN,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
6884,VB|IN|JJ,VB,IMPV,IMPV,VB|IN|JJ,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
6887,MD|VB,VB,FUT,FUT,MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
6907,PRP|VBP,VBP,PRES,PRES,PRP|VBP|IN|NNS,VBP,PRES,PRES,1,PRES,PRES,1,1
6913,PRP|MD|VB|RP,VB,MOD shall,MOD shall,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
6919,PRP|MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
6924,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
6931,PRP|MD|VB|RB,VB,MOD shall,MOD shall,PRP$|NNS|MD|VB|RB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7062,PRP|MD|VB|NNS,VB,MOD shall,MOD shall,PRP|MD|VB|DT|NN,VB,MOD can,MOD can,1,MOD can ~ MOD shall,MOD can ~ MOD shall,0,
7134,MD|VB,VB,MOD may,MOD may,MD|VB,VB,MOD may,MOD may,1,MOD may,MOD may,1,1
7189,VBP|PRP|VBG,VBP|VBG,PRES PART,PRES PART,VBP|PRP|VBG,VBP|VBG,PRES PART,PRES PART,1,PRES PART,PRES PART,1,1
7216,PRP|MD|RB|VB,VB,FUT,FUT,PRP|MD|RB|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7221,PRP|VB|VBN,VB|VBN,MOD can,MOD can,VB,VB,TO INF,TO INF,1,MOD can ~ TO INF,MOD can ~ TO INF,0,
7245,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7261,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7351,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,
7357,MD|VB,VB,MOD may,MOD may,MD|VB|NNS,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,
7385,MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7412,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7469,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB,VB,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
7479,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB,VBP|VB,MOD is to,MOD is to,1,MOD is to ~ MOD shall,MOD is to ~ MOD shall,0,
7508,PRP|MD|VB|VBN,VB|VBN,MOD shall,MOD shall,MD|VB|VBN,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
7529,MD|RB|VB|VBN,VB|VBN,MOD shall,MOD shall,PRP|MD|VB|VBN,VB|VBN,MOD must,MOD must,1,MOD must ~ MOD shall,MOD must ~ MOD shall,0,
7548,VBZ|VBN,VBZ|VBN,PRES,PRES,VBZ|VBN|VBN,VBZ|VBN|VBN,PRES PERF,PRES PERF,1,PRES ~ PRES PERF,PRES ~ PRES PERF,0,
7571,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|VBP|TO|VB,VBP|VB,PRES,PRES,1,MOD shall ~ PRES,MOD shall ~ PRES,0,
7596,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7613,VB|DT|NN|VB|VBN,VB|VB|VBN,MOD quest shall,MOD shall,MD|DT|NN|VB|VBN,VB|VBN,FUT question,FUT,1,FUT question ~ MOD quest shall,FUT ~ MOD shall,0,
7621,NNP|VBP|DT|NN,VBP,MOD,MOD,MD|VB|DT|NN,VB,FUT question,FUT,1,FUT question ~ MOD,FUT ~ MOD,0,
7630,MD|VB,VB,MOD might,MOD might,MD|VB,VB,MOD might,MOD might,1,MOD might,MOD might,1,1
7677,PRP|MD|VB,VB,MOD shall,MOD shall,PRP|MD|VB|DT|NN,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7686,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
7690,MD|VB,VB,MOD shall,MOD shall,MD|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
7853,VBP|VB,VBP|VB,IMPV do not,IMPV,VBP|VB,VBP|VB,IMPV do not,IMPV,1,IMPV do not,IMPV,1,1
7857,VB|VB|VBN,VB|VB|VBN,MOD let,MOD let,VB|VB|VBN,VB|VB|VBN,MOD let,MOD let,1,MOD let,MOD let,1,1
7870,PRP|VBP,VBP,PRES,PRES,VB|PRP|VB,VB|VB,MOD let,MOD let,1,MOD let ~ PRES,MOD let ~ PRES,0,
7877,PRP|MD|VB|RP,VB,MOD may,MOD may,VB|IN|PRP$|NN,VB,MOD can,MOD can,1,MOD can ~ MOD may,MOD can ~ MOD may,0,
7887,VB,VB,IMPV,IMPV,VB,VB,IMPV,IMPV,1,IMPV,IMPV,1,1
7971,PRP|MD|RB|VB,VB,FUT,FUT,PRP|MD|RB|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8039,MD|PRP|VB|DT|NN,VB,MOD quest shall,MOD shall,MD|PRP|VB|DT|NN,VB,FUT question,FUT,1,FUT question ~ MOD quest shall,FUT ~ MOD shall,0,
8044,VBZ|RB|JJ,VBZ,PRES,PRES,VBZ|JJ,VBZ,PRES,PRES,1,PRES,PRES,1,1
8051,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8106,MD|RB|VB,VB,MOD shall,MOD shall,MD|RB|VB,VB,FUT,FUT,1,FUT ~ MOD shall,FUT ~ MOD shall,0,
8123,PRP|MD|VB,VB,MOD may,MOD may,PRP|MD|VB,VB,FUT,FUT,1,FUT ~ MOD may,FUT ~ MOD may,0,
8162,PRP|MD|VB|RP,VB,FUT,FUT,PRP|MD|VB|RP,VB,FUT,FUT,1,FUT,FUT,1,1
8165,VB,VB,TO INF,TO INF,VB,VB,FUT,FUT,1,FUT ~ TO INF,FUT ~ TO INF,0,
8177,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8201,MD|PRP|VB|RB,VB,FUT question,FUT,MD|PRP|VB|RB,VB,FUT question,FUT,1,FUT question,FUT,1,1
8215,MD|PRP|VB|RB,VB,FUT question,FUT,MD|PRP|VB|RB,VB,FUT question,FUT,1,FUT question,FUT,1,1
8218,VB,VB,FUT question,FUT,VB,VB,FUT question,FUT,1,FUT question,FUT,1,1
8259,MD|VB,VB,MOD quest shall,MOD shall,MD|VB,VB,TO INF,TO INF,1,MOD quest shall ~ TO INF,MOD shall ~ TO INF,0,
8265,PRP|VBP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
8300,VBP|VBG,VBP|VBG,PRES PROG,PRES PROG,VBZ|JJR,VBZ,PRES,PRES,1,PRES ~ PRES PROG,PRES ~ PRES PROG,0,
8306,MD|PRP|VB,VB,FUT question,FUT,MD|PRP|VB,VB,FUT question,FUT,1,FUT question,FUT,1,1
8316,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8318,PRP|VBP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
8332,VBP|VBN,VBP|VBN,PRES,PRES,VBP|VBN,VBP|VBN,PRES,PRES,1,PRES,PRES,1,1
8338,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8347,VB|VB|JJ,VB|VB,MOD let,MOD let,MD|VB|JJ,VB,MOD may,MOD may,1,MOD let ~ MOD may,MOD let ~ MOD may,0,
8351,PRP|MD|VB,VB,FUT,FUT,VB|PRP|VB,VB|VB,MOD let,MOD let,1,FUT ~ MOD let,FUT ~ MOD let,0,
8353,VBP|VBN,VBP|VBN,PRES,PRES,MD|VB|VBN,VB|VBN,MOD can,MOD can,1,MOD can ~ PRES,MOD can ~ PRES,0,
8359,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
8361,PRP|VBP,VBP,PRES,PRES,PRP|VBP,VBP,PRES,PRES,1,PRES,PRES,1,1
8374,VBP|VBN,VBP|VBN,PRES,PRES,MD|VB|VBN,VB|VBN,MOD can,MOD can,1,MOD can ~ PRES,MOD can ~ PRES,0,
8380,PRP|MD|VB,VB,FUT,FUT,PRP|MD|VB,VB,FUT,FUT,1,FUT,FUT,1,1
