eng_TAMsimp,x,Wx,Ø,W
MOD would ~ TO INF,0.8,0.2,0.0,0.0
MOD let ~ PRES PART,0.4,0.6,0.0,0.0
MOD might ~ PAST,0.2,0.0,0.2,0.6
MOD was to,0.4,0.6,0.0,0.0
MOD might ~ MOD should,0.6,0.2,0.2,0.0
MOD should ~ PAST,1.0,0.0,0.0,0.0
MOD VB ~ PRES,0.75,0.25,0.0,0.0
FUT ~ PRES PROG,0.5,0.0,0.25,0.25
IMPV ~ MOD lest,0.5,0.5,0.0,0.0
HAB used to,0.5,0.5,0.0,0.0
PAST PERF ~ PRES,0.5,0.0,0.25,0.25
MOD can ~ PAST,0.5,0.5,0.0,0.0
FUT ~ MOD is to,1.0,0.0,0.0,0.0
?VB ~ PAST,0.5,0.5,0.0,0.0
PRES PERF ~ TO INF,0.0,0.25,0.0,0.75
MOD could ~ MOD should,1.0,0.0,0.0,0.0
?VB,1.0,0.0,0.0,0.0
PAST PROG,0.33,0.67,0.0,0.0
MOD shall ~ PRES PERF,0.33,0.67,0.0,0.0
MOD can ~ MOD might,0.67,0.33,0.0,0.0
MOD could ~ MOD must,1.0,0.0,0.0,0.0
FUT PROG ~ PRES,0.67,0.33,0.0,0.0
MOD lest ~ MOD would,0.33,0.67,0.0,0.0
FUT ~ MOD that be,0.0,1.0,0.0,0.0
MOD need not ~ MOD shall,0.33,0.67,0.0,0.0
MOD may ~ PRES PERF,0.67,0.0,0.33,0.0
MOD may ~ PAST,0.67,0.0,0.0,0.33
MOD may ~ MOD might,0.67,0.33,0.0,0.0
PRES PART ~ PRES PERF,0.67,0.33,0.0,0.0
MOD is to ~ PRES PART,0.33,0.0,0.67,0.0
MOD let ~ PRES PERF,0.0,0.33,0.67,0.0
MOD let ~ MOD would,0.0,0.33,0.67,0.0
IMPV ~ MOD is to,0.67,0.0,0.33,0.0
MOD would ~ PRES PART,0.67,0.0,0.33,0.0
?VB ~ MOD must,0.5,0.5,0.0,0.0
?VB ~ MOD shall,0.5,0.5,0.0,0.0
??VB ~ MOD let,0.0,1.0,0.0,0.0
MOD must ~ MOD should,0.0,0.5,0.0,0.5
MOD is to ~ PRES,0.5,0.0,0.0,0.5
MOD can ~ MOD must,0.5,0.0,0.5,0.0
MOD should ~ PRES PERF,0.5,0.0,0.0,0.5
MOD that be,0.0,0.5,0.0,0.5
MOD let ~ MOD that be,0.5,0.5,0.0,0.0
PAST PROG ~ PRES,0.5,0.5,0.0,0.0
MOD lest ~ MOD should,1.0,0.0,0.0,0.0
MOD lest ~ MOD shall,0.5,0.5,0.0,0.0
MOD is to ~ TO INF,0.5,0.0,0.5,0.0
MOD need not ~ PRES,0.5,0.0,0.5,0.0
MOD could ~ TO INF,0.0,1.0,0.0,0.0
PRES PROG,0.5,0.5,0.0,0.0
PRES ~ PRES do,0.0,1.0,0.0,0.0
FUT PERF,0.0,1.0,0.0,0.0
FUT ~ MOD,1.0,0.0,0.0,0.0
MOD quest must,0.0,1.0,0.0,0.0
MOD quest must ~ MOD shall,1.0,0.0,0.0,0.0
PRES ~ PRES shall,1.0,0.0,0.0,0.0
MOD should ~ PRES PART,0.0,0.0,0.0,1.0
?VB ~ IMPV,0.0,1.0,0.0,0.0
?VB ~ MOD lest,0.0,1.0,0.0,0.0
MOD that be ~ TO INF,1.0,0.0,0.0,0.0
MOD was to ~ PRES,1.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,0.0,1.0,0.0
MOD ~ PRES,1.0,0.0,0.0,0.0
MOD would ~ PAST PROG,1.0,0.0,0.0,0.0
FUT PERF ~ PRES,1.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,1.0,0.0,0.0
PRES ~ PRES can,1.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,1.0,0.0,0.0,0.0
MOD must ~ TO INF,0.0,0.0,1.0,0.0
FUT going-to ~ MOD is to,1.0,0.0,0.0,0.0
PAST PROG ~ PRES PART,0.0,1.0,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,1.0,0.0
PRES PART ~ PRES PROG,1.0,0.0,0.0,0.0
FUT going-to ~ MOD lest,1.0,0.0,0.0,0.0
MOD can ~ MOD lest,1.0,0.0,0.0,0.0
MOD must ~ PRES shall,0.0,1.0,0.0,0.0
MOD lest ~ MOD let,0.0,1.0,0.0,0.0
MOD could ~ MOD shall,0.0,1.0,0.0,0.0
MOD VB ~ TO INF,1.0,0.0,0.0,0.0
MOD could ~ PAST PERF,1.0,0.0,0.0,0.0
MOD VB ~ MOD shall,0.0,1.0,0.0,0.0
MOD could ~ PRES PERF,0.0,1.0,0.0,0.0
MOD VB ~ MOD can,1.0,0.0,0.0,0.0
JJ ~ PRES,0.0,0.0,0.0,1.0
IMPV ~ PRES PERF,1.0,0.0,0.0,0.0
MOD is to ~ MOD lest,1.0,0.0,0.0,0.0
MOD is to ~ MOD should,1.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,1.0,0.0,0.0,0.0
IMPV ~ MOD need not,1.0,0.0,0.0,0.0
MOD lest ~ MOD must,0.0,1.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,1.0
MOD let ~ MOD might,0.0,0.0,0.0,1.0
IMPV ~ MOD,0.0,0.0,0.0,1.0
MOD let ~ VB,0.0,0.0,0.0,1.0
HAB used to ~ PRES PERF,0.0,0.0,1.0,0.0
HAB used to ~ PRES,1.0,0.0,0.0,0.0
MOD may ~ MOD should,1.0,0.0,0.0,0.0
HAB used to ~ MOD would,1.0,0.0,0.0,0.0
MOD may ~ MOD would,1.0,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,0.0,0.0,1.0
FUT ~ PRES shall,0.0,1.0,0.0,0.0
MOD must ~ MOD quest must,0.0,1.0,0.0,0.0
MOD must ~ PRES PART,0.0,1.0,0.0,0.0
MOD lest ~ MOD that be,1.0,0.0,0.0,0.0
