eng_TAMsimp,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD may ~ PRES,2.65,6.75,3.13,7.86,61.0,30.0,14.5,14.5,61.0,19.67,inf
PRES PERF,1.35,9.17,2.81,29.5,60.0,11.2,29.5,inf,29.5,inf,60.0
MOD may ~ MOD shall,5.44,13.5,8.67,2.87,3.14,inf,18.33,18.33,18.33,57.0,inf
IMPV ~ PRES,2.93,1.89,26.5,6.86,17.33,26.5,54.0,12.75,26.5,inf,54.0
MOD can ~ MOD may,2.57,5.25,9.0,24.0,15.67,inf,2.12,inf,inf,24.0,inf
PRES PART,1.33,3.45,23.5,23.5,11.25,6.0,48.0,inf,48.0,inf,inf
PRES ~ TO INF,1.14,5.43,21.5,inf,44.0,6.5,6.5,inf,44.0,inf,44.0
MOD should ~ PRES,1.5,4.62,4.62,10.25,10.25,inf,14.0,inf,inf,inf,inf
MOD can ~ MOD shall,0.76,13.67,13.67,10.0,10.0,inf,21.0,inf,13.67,inf,inf
FUT ~ MOD would,0.91,9.5,20.0,9.5,13.0,13.0,20.0,inf,20.0,inf,inf
MOD must,0.9,5.33,37.0,8.5,18.0,18.0,18.0,37.0,inf,inf,inf
MOD shall ~ TO INF,1.38,3.75,inf,4.43,18.0,inf,11.67,inf,37.0,37.0,inf
MOD could,0.73,6.6,6.6,37.0,37.0,inf,18.0,inf,18.0,inf,inf
PAST ~ PRES PERF,2.67,10.0,7.25,32.0,inf,3.12,10.0,7.25,32.0,inf,inf
MOD may ~ TO INF,4.5,32.0,32.0,inf,inf,inf,0.43,inf,inf,15.5,inf
MOD shall ~ MOD should,0.82,5.2,4.17,14.5,inf,inf,inf,inf,30.0,inf,inf
IMPV ~ MOD may,3.29,3.29,6.5,9.0,29.0,29.0,5.0,14.0,inf,inf,inf
FUT ~ TO INF,4.8,2.62,8.67,6.25,28.0,6.25,6.25,inf,inf,inf,inf
MOD would ~ PAST,2.22,1.9,28.0,13.5,6.25,28.0,inf,28.0,28.0,inf,inf
MOD would ~ PRES,0.53,10.5,inf,10.5,22.0,22.0,22.0,22.0,inf,inf,inf
FUT ~ IMPV,4.75,2.83,22.0,4.75,22.0,4.75,10.5,inf,inf,22.0,inf
MOD let ~ PRES,10.0,6.33,21.0,6.33,inf,3.4,10.0,3.4,inf,21.0,inf
PAST ~ PRES PART,2.0,2.5,9.5,20.0,20.0,20.0,6.0,inf,inf,inf,inf
FUT ~ MOD let,3.2,9.5,20.0,inf,20.0,3.2,20.0,6.0,inf,6.0,inf
MOD shall ~ PRES PART,1.22,5.67,9.0,inf,5.67,inf,19.0,inf,9.0,inf,inf
MOD should ~ TO INF,0.58,8.5,5.33,18.0,inf,inf,18.0,inf,inf,inf,inf
MOD must ~ PRES,0.64,5.0,inf,8.0,inf,inf,inf,inf,8.0,inf,inf
FUT ~ PRES PART,1.43,4.67,16.0,7.5,16.0,7.5,inf,inf,inf,16.0,inf
MOD let ~ TO INF,inf,inf,inf,inf,16.0,7.5,0.31,16.0,inf,inf,inf
MOD lest ~ MOD may,0.6,7.0,15.0,inf,4.33,inf,inf,inf,inf,inf,inf
PRES ~ PRES PROG,1.29,inf,4.33,7.0,7.0,inf,inf,15.0,15.0,inf,inf
MOD let ~ MOD shall,2.75,14.0,14.0,14.0,6.5,6.5,14.0,6.5,14.0,inf,inf
FUT ~ PAST,4.0,2.75,14.0,14.0,4.0,14.0,14.0,inf,inf,14.0,inf
IMPV ~ MOD must,0.75,6.0,13.0,13.0,13.0,inf,inf,13.0,inf,inf,inf
MOD lest ~ PRES,0.4,3.67,inf,inf,inf,inf,inf,inf,13.0,inf,inf
MOD shall ~ PAST,1.33,inf,6.0,6.0,3.67,inf,inf,inf,13.0,inf,inf
MOD should ~ MOD would,3.67,3.67,inf,3.67,inf,13.0,6.0,13.0,13.0,inf,inf
PAST ~ TO INF,1.17,12.0,5.5,inf,12.0,5.5,12.0,inf,inf,inf,inf
FUT ~ MOD should,1.0,11.0,11.0,5.0,5.0,inf,inf,inf,inf,inf,inf
HAB used to ~ PAST,2.0,5.0,2.0,11.0,inf,inf,inf,inf,11.0,inf,inf
MOD might,1.2,10.0,4.5,10.0,inf,10.0,inf,10.0,inf,inf,inf
MOD may ~ MOD must,1.2,2.67,inf,inf,4.5,inf,10.0,inf,inf,inf,inf
IMPV ~ MOD can,4.5,0.22,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to,1.0,inf,4.0,2.33,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PERF,1.0,9.0,9.0,9.0,4.0,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,2.0,2.0,inf,inf,8.0,inf,8.0,inf,8.0,inf,inf
MOD was to ~ PAST,0.8,inf,2.0,inf,inf,inf,8.0,inf,inf,inf,inf
MOD is to ~ MOD let,inf,8.0,3.5,2.0,8.0,inf,8.0,8.0,inf,inf,inf
MOD can ~ MOD should,0.6,inf,1.67,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ PAST,7.0,7.0,7.0,inf,inf,7.0,7.0,1.67,inf,inf,inf
MOD let ~ MOD should,7.0,inf,1.0,7.0,inf,inf,7.0,7.0,inf,inf,inf
MOD can ~ MOD could,1.67,7.0,7.0,7.0,7.0,inf,inf,inf,7.0,inf,inf
IMPV ~ PAST,6.0,1.33,6.0,inf,6.0,inf,6.0,inf,inf,inf,inf
MOD could ~ MOD would,1.33,2.5,inf,6.0,inf,6.0,inf,inf,inf,inf,inf
IMPV ~ MOD should,1.33,1.33,6.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD must,6.0,6.0,inf,2.5,2.5,6.0,inf,inf,inf,inf,inf
MOD lest,0.75,inf,6.0,inf,inf,inf,2.5,inf,inf,inf,inf
MOD should ~ MOD was to,0.4,inf,6.0,inf,6.0,inf,inf,inf,inf,inf,inf
PAST PERF,inf,inf,2.5,inf,2.5,6.0,inf,inf,2.5,inf,inf
IMPV ~ PRES PART,1.33,0.75,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ MOD would,2.5,6.0,6.0,inf,6.0,inf,2.5,inf,inf,inf,inf
IMPV ~ TO INF,2.5,0.4,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT going-to,1.0,inf,5.0,5.0,inf,inf,5.0,inf,inf,inf,inf
PRES PART ~ TO INF,2.0,1.0,inf,inf,inf,5.0,inf,inf,inf,inf,inf
MOD lest ~ MOD might,0.5,inf,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST,2.0,2.0,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PERF,2.0,inf,inf,2.0,inf,2.0,inf,inf,inf,inf,inf
MOD can ~ TO INF,2.0,2.0,inf,5.0,inf,inf,5.0,inf,inf,inf,inf
MOD is to ~ MOD may,0.5,inf,5.0,inf,5.0,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PART,5.0,1.0,inf,inf,inf,inf,2.0,inf,inf,inf,inf
MOD could ~ MOD might,5.0,5.0,5.0,inf,inf,5.0,5.0,inf,5.0,inf,inf
FUT going-to ~ MOD shall,0.2,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf
MOD shall ~ MOD would,0.5,inf,inf,5.0,inf,inf,inf,inf,5.0,inf,inf
?VB ~ MOD let,2.0,inf,1.0,5.0,inf,inf,inf,inf,inf,inf,inf
PAST ~ PAST PROG,1.0,5.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD can ~ PRES PART,1.5,inf,inf,inf,1.5,inf,inf,inf,4.0,inf,inf
MOD VB ~ MOD may,inf,4.0,4.0,4.0,4.0,inf,inf,4.0,inf,inf,inf
MOD is to ~ MOD must,0.25,inf,inf,4.0,inf,inf,inf,inf,inf,inf,inf
MOD might ~ TO INF,1.5,inf,inf,4.0,4.0,inf,4.0,inf,inf,inf,inf
MOD can ~ MOD let,1.5,4.0,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD lest ~ TO INF,0.25,inf,4.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ TO INF,0.67,inf,inf,4.0,4.0,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,4.0,4.0,inf,4.0,1.5,inf,inf,inf,inf,inf,inf
MOD might ~ PAST,4.0,inf,inf,inf,inf,inf,0.67,4.0,inf,inf,inf
MOD was to,4.0,4.0,inf,4.0,1.5,inf,inf,inf,inf,inf,inf
MOD might ~ MOD should,1.5,inf,4.0,inf,inf,4.0,inf,inf,4.0,inf,inf
MOD should ~ PAST,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ PRES,1.0,inf,3.0,inf,3.0,inf,inf,inf,inf,inf,inf
FUT ~ PRES PROG,1.0,inf,inf,inf,inf,3.0,3.0,inf,inf,inf,inf
IMPV ~ MOD lest,3.0,3.0,3.0,inf,3.0,inf,inf,inf,inf,inf,inf
HAB used to,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PAST PERF ~ PRES,1.0,inf,inf,inf,inf,3.0,3.0,inf,inf,inf,inf
MOD can ~ PAST,inf,3.0,3.0,3.0,3.0,inf,inf,inf,inf,inf,inf
FUT ~ MOD is to,1.0,inf,3.0,3.0,inf,inf,inf,inf,inf,inf,inf
?VB ~ PAST,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ TO INF,inf,3.0,inf,inf,inf,inf,0.33,inf,inf,inf,inf
MOD could ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
?VB,2.0,inf,0.5,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG,inf,inf,2.0,inf,0.5,inf,inf,inf,inf,inf,inf
MOD shall ~ PRES PERF,2.0,2.0,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD can ~ MOD might,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD must,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PROG ~ PRES,0.5,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD would,inf,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD that be,inf,2.0,inf,inf,inf,inf,inf,inf,0.5,inf,inf
MOD need not ~ MOD shall,inf,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ PRES PERF,0.5,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf
MOD may ~ PAST,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,2.0,inf
MOD may ~ MOD might,2.0,2.0,inf,2.0,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PERF,0.5,2.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PART,2.0,inf,inf,inf,inf,0.5,inf,inf,inf,inf,inf
MOD let ~ PRES PERF,inf,2.0,inf,inf,inf,2.0,inf,2.0,inf,inf,inf
MOD let ~ MOD would,inf,inf,inf,inf,2.0,inf,inf,0.5,inf,inf,inf
IMPV ~ MOD is to,0.5,inf,inf,inf,2.0,inf,inf,inf,inf,inf,inf
MOD would ~ PRES PART,0.5,inf,inf,inf,inf,2.0,inf,inf,inf,inf,inf
?VB ~ MOD must,inf,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf
?VB ~ MOD shall,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
??VB ~ MOD let,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD should,inf,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD is to ~ PRES,1.0,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD can ~ MOD must,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD should ~ PRES PERF,1.0,inf,inf,inf,inf,inf,1.0,inf,inf,inf,inf
MOD that be,inf,inf,inf,inf,1.0,inf,1.0,inf,inf,inf,inf
MOD let ~ MOD that be,inf,inf,1.0,inf,inf,inf,inf,inf,1.0,inf,inf
PAST PROG ~ PRES,inf,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD should,1.0,inf,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD shall,inf,1.0,1.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ TO INF,1.0,inf,inf,inf,inf,1.0,inf,inf,inf,inf,inf
MOD need not ~ PRES,inf,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf
MOD could ~ TO INF,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PRES PROG,1.0,inf,inf,inf,1.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES do,inf,1.0,inf,inf,1.0,inf,inf,inf,inf,inf,inf
FUT PERF,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ MOD,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
MOD quest must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD quest must ~ MOD shall,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES ~ PRES shall,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD should ~ PRES PART,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
?VB ~ IMPV,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf
?VB ~ MOD lest,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD that be ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD was to ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PERF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD ~ PRES,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD would ~ PAST PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT PERF ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
FUT ~ FUT PROG,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
PRES ~ PRES can,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
PRES PERF ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ TO INF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
FUT going-to ~ MOD is to,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
PAST PROG ~ PRES PART,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
FUT PROG ~ MOD shall,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
FUT going-to ~ MOD lest,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD can ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD let,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ MOD shall,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD VB ~ TO INF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD could ~ PAST PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD shall,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD could ~ PRES PERF,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD VB ~ MOD can,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
JJ ~ PRES,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
IMPV ~ PRES PERF,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD lest,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ PRES PROG,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ MOD need not,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD must,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PROG,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD let ~ MOD might,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
IMPV ~ MOD,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
MOD let ~ VB,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
HAB used to ~ PRES PERF,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf
HAB used to ~ PRES,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD should,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
HAB used to ~ MOD would,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD may ~ MOD would,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
MOD might ~ PRES PERF,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf
FUT ~ PRES shall,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD must ~ MOD quest must,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD must ~ PRES PART,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf
MOD lest ~ MOD that be,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf
