,prose,prophetic,instruction,poetry,list
FUT PROG ~ PRES,0.0,0.0,7.6,1.99,0.0
PRES PART ~ PRES PERF,0.0,1.23,0.0,7.96,0.0
MOD need not ~ MOD shall,1.19,0.0,0.0,7.96,0.0
MOD would ~ PRES PART,1.19,1.23,0.0,1.99,0.0
MOD could ~ MOD should,4.77,1.23,0.0,0.0,0.0
FUT ~ MOD that be,4.77,0.0,1.9,0.0,0.0
MOD may ~ MOD might,1.19,1.23,0.0,1.99,0.0
MOD may ~ PAST,1.19,0.0,0.0,7.96,0.0
MOD lest ~ MOD would,4.77,0.0,1.9,0.0,0.0
MOD is to ~ PRES PART,4.77,0.0,0.0,1.99,0.0
PAST PROG ~ PRES,0.0,2.46,0.0,3.98,0.0
MOD is to ~ TO INF,2.38,0.0,0.0,3.98,0.0
MOD must ~ MOD quest must,0.0,inf,0.0,0.0,0.0
MOD must ~ MOD should,2.38,0.0,0.0,3.98,0.0
MOD need not ~ PRES,0.0,2.46,3.8,0.0,0.0
MOD should ~ PRES PERF,2.38,2.46,0.0,0.0,0.0
MOD lest ~ MOD let,2.38,0.0,0.0,3.98,0.0
MOD is to ~ PRES,inf,0.0,0.0,0.0,0.0
MOD lest ~ MOD shall,2.38,2.46,0.0,0.0,0.0
MOD can ~ MOD must,2.38,0.0,0.0,3.98,0.0
MOD let ~ MOD that be,2.38,0.0,0.0,3.98,0.0
MOD could ~ TO INF,2.38,0.0,0.0,3.98,0.0
PRES ~ PRES do,0.0,0.0,0.0,inf,0.0
MOD lest ~ MOD should,0.0,0.0,0.0,inf,0.0
MOD should ~ PRES PART,inf,0.0,0.0,0.0,0.0
FUT ~ PRES shall,0.0,0.0,inf,0.0,0.0
FUT PROG ~ MOD shall,0.0,0.0,inf,0.0,0.0
MOD that be ~ TO INF,0.0,0.0,inf,0.0,0.0
MOD was to ~ PRES,inf,0.0,0.0,0.0,0.0
MOD would ~ PAST PERF,0.0,inf,0.0,0.0,0.0
FUT going-to ~ MOD is to,0.0,inf,0.0,0.0,0.0
FUT going-to ~ MOD lest,inf,0.0,0.0,0.0,0.0
MOD would ~ PAST PROG,0.0,0.0,0.0,inf,0.0
MOD ~ MOD let,inf,0.0,0.0,0.0,0.0
FUT ~ MOD was to,0.0,0.0,0.0,inf,0.0
FUT going-to ~ MOD may,inf,0.0,0.0,0.0,0.0
FUT ~ MOD,inf,0.0,0.0,0.0,0.0
MOD ~ PRES,inf,0.0,0.0,0.0,0.0
FUT ~ FUT PERF,inf,0.0,0.0,0.0,0.0
FUT ~ FUT PROG,0.0,0.0,0.0,inf,0.0
PAST PROG ~ PRES PART,0.0,inf,0.0,0.0,0.0
FUT PERF ~ PRES,inf,0.0,0.0,0.0,0.0
PRES PART ~ PRES PROG,inf,0.0,0.0,0.0,0.0
PRES ~ PRES can,inf,0.0,0.0,0.0,0.0
PRES PERF ~ PRES PROG,0.0,0.0,0.0,inf,0.0
MOD must ~ PRES shall,0.0,0.0,inf,0.0,0.0
HAB used to ~ MOD would,0.0,0.0,0.0,inf,0.0
MOD may ~ MOD would,inf,0.0,0.0,0.0,0.0
MOD is to ~ PRES PROG,inf,0.0,0.0,0.0,0.0
MOD is to ~ MOD lest,0.0,inf,0.0,0.0,0.0
MOD could ~ PRES PERF,0.0,0.0,0.0,inf,0.0
MOD could ~ PAST PERF,inf,0.0,0.0,0.0,0.0
PRES ~ PRES shall,0.0,0.0,inf,0.0,0.0
MOD could ~ MOD shall,inf,0.0,0.0,0.0,0.0
MOD lest ~ MOD that be,0.0,0.0,inf,0.0,0.0
MOD let ~ MOD might,0.0,inf,0.0,0.0,0.0
MOD let ~ MOD that,0.0,inf,0.0,0.0,0.0
MOD let ~ VB,inf,0.0,0.0,0.0,0.0
MOD can ~ MOD lest,inf,0.0,0.0,0.0,0.0
MOD may ~ MOD should,0.0,0.0,0.0,inf,0.0
MOD VB ~ TO INF,0.0,0.0,0.0,inf,0.0
MOD VB ~ MOD shall,0.0,inf,0.0,0.0,0.0
HAB used to ~ PRES,inf,0.0,0.0,0.0,0.0
MOD VB ~ MOD can,0.0,0.0,0.0,inf,0.0
JJ ~ PRES,0.0,0.0,0.0,inf,0.0
IMPV ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD might ~ PRES PERF,0.0,inf,0.0,0.0,0.0
MOD must ~ PRES PART,inf,0.0,0.0,0.0,0.0
MOD must ~ PRES PROG,0.0,0.0,0.0,inf,0.0
IMPV ~ MOD need not,0.0,0.0,inf,0.0,0.0
MOD is to ~ MOD should,inf,0.0,0.0,0.0,0.0
MOD must ~ TO INF,inf,0.0,0.0,0.0,0.0
MOD quest must ~ MOD shall,inf,0.0,0.0,0.0,0.0
IMPV ~ MOD,inf,0.0,0.0,0.0,0.0
IMPV not ~ MOD must,inf,0.0,0.0,0.0,0.0
HAB used to ~ PRES PERF,0.0,0.0,0.0,inf,0.0
MOD lest ~ MOD must,0.0,0.0,inf,0.0,0.0
